Arithmetic,Unconditional,Conditional,Data
adpcm,56.55195672884379,2.2940720547821187,32.60865734119298,8.545313875181112
binary_search,31.41932817421295,4.319694443256802,12.141747545142303,52.11922983738795
bit_manipulation,36.417062539791374,2.467962845062605,5.675106518438709,55.439868096707315
blowfish,40.602939468196325,2.03550151841178,1.1810975710943075,56.18046144229759
bubble,39.86609967741793,0.0725699038448774,4.530308997340579,55.53102142139662
compress,47.39748782474099,1.623367868102709,5.439630670326885,45.53951363682941
counts,46.35622263690519,4.912796956864997,22.654623914447715,26.0763564917821
crc,35.7169447022678,2.9735994401234906,17.425660013996914,43.8837958436118
edn,56.606053025520076,1.409917368498378,29.592878046068748,12.391151559912803
expint,26.404254927694442,11.554477547866403,19.715224030712996,42.326043493726154
factorial,36.985601682414334,9.413456862934718,17.623535276627216,35.977406178023735
fdct,57.56502744562876,1.2591099334967566,28.671399587748574,12.504463033125912
fibonacci,21.77100197877316,0.2106194159621035,7.322584997301673,70.69579360796307
hanoi,22.730228450289843,9.095030717461745,4.549179134586988,63.625561697661425
harm,27.994516378299295,9.90680196594506,16.818793367877273,45.27988828787837
insert_sort,38.888838705015175,4.543647926000867,9.072391241508889,47.49512212747507
jfdct_int,51.57414971091758,0.16597342693272446,2.995026570180781,45.264850291968905
matrix_mult,55.43796739281899,1.9819777973895676,20.803660179293047,21.776394630498398
mdc,32.364182340240056,10.109257508493812,26.728361172452864,30.798198978813268
peakspeed,5.784996133023975,0.3196700180458881,2.7790667697860276,91.11626707914411
petri_net,28.352382674139097,0.07365298729820755,20.952935741116445,50.62102859744625
prime,47.67329680417594,4.055975275327276,34.06476377688192,14.205964143614866
switch_cases,34.77354862465395,10.081416122301471,9.938767439006096,45.20626781403848
test_app,50.14716087195807,2.0784379411835086,17.32789356560025,30.446507621258167
ud,47.457203750035255,2.8984748191390923,10.137745708288511,39.50657572253714
usqrt,34.25610696837233,0.6490100282849062,7.322705065569555,57.77217793777321
